id_cuenta,tipo,saldo,fecha_creacion,estado,moneda,limite_diario,id_usuario_principal
1,Inversión,63237.0,2018-11-24,True,MXN,22372.04,963
2,Ahorro,483149.65,2020-08-29,True,MXN,41181.3,907
3,Nómina,97519.5,2024-06-02,True,GTQ,10735.18,763
4,Inversión,262834.79,2023-09-30,True,COP,43136.38,538
5,Ahorro,400149.97,2019-01-25,True,COP,9170.92,163
6,Ahorro,340230.41,2022-02-13,True,USD,27500.26,979
7,Nómina,212065.47,2017-04-08,True,GTQ,47993.78,972
8,Empresarial,148318.57,2020-11-07,False,MXN,23932.2,140
9,Inversión,276.77,2017-10-26,True,USD,46229.56,628
10,Nómina,479641.95,2015-08-31,False,USD,8045.79,843
11,Corriente,382320.01,2024-01-19,True,MXN,39529.33,662
12,Empresarial,195560.73,2017-03-03,True,EUR,4456.05,987
13,Inversión,70306.12,2019-07-03,True,COP,47272.71,156
14,Corriente,221746.34,2022-07-16,True,EUR,1527.68,121
15,Nómina,155649.18,2016-02-25,False,USD,33360.65,306
16,Ahorro,270675.61,2021-11-03,False,USD,4449.73,773
17,Inversión,437630.22,2015-06-17,False,EUR,6529.04,478
18,Empresarial,292530.79,2024-10-29,False,EUR,12007.04,106
19,Ahorro,498802.89,2021-10-07,True,USD,43598.7,681
20,Empresarial,418370.89,2019-11-07,False,GTQ,32264.94,886
21,Inversión,421178.27,2023-03-20,True,EUR,32373.01,337
22,Empresarial,333522.54,2017-10-26,True,GTQ,1633.38,731
23,Empresarial,121447.84,2020-07-20,True,COP,22254.58,273
24,Ahorro,498651.54,2024-04-07,False,COP,30725.39,580
25,Empresarial,303353.25,2024-10-05,False,GTQ,30481.45,605
26,Ahorro,287855.2,2016-04-26,True,EUR,29425.98,727
27,Nómina,210972.48,2019-06-01,True,EUR,32707.34,451
28,Empresarial,286715.13,2020-11-11,True,MXN,40844.87,644
29,Empresarial,334567.28,2015-04-16,True,COP,9856.15,646
30,Inversión,49492.22,2019-08-16,True,MXN,42622.07,260
31,Inversión,409202.38,2018-11-10,True,USD,14554.99,803
32,Ahorro,162323.75,2022-11-03,True,USD,11259.67,790
33,Nómina,324178.63,2023-04-22,False,EUR,39267.44,177
34,Empresarial,428337.52,2018-09-29,True,COP,27373.5,825
35,Corriente,158335.42,2018-06-06,True,GTQ,32333.14,321
36,Nómina,248646.63,2017-02-01,False,USD,13969.34,725
37,Empresarial,175361.89,2024-01-14,False,EUR,37983.77,983
38,Corriente,161447.61,2016-04-01,True,COP,16215.85,519
39,Nómina,148172.23,2021-04-12,True,MXN,31305.08,78
40,Corriente,46772.5,2022-12-24,False,EUR,8142.51,349
41,Nómina,176964.45,2016-06-28,False,GTQ,42405.47,754
42,Inversión,306748.67,2015-12-03,True,USD,22684.27,42
43,Corriente,274038.81,2022-06-27,True,GTQ,25230.15,854
44,Corriente,122751.33,2017-07-14,False,USD,8123.46,304
45,Corriente,482298.78,2024-08-13,False,MXN,21311.77,565
46,Nómina,96200.33,2017-02-01,False,COP,44541.6,397
47,Inversión,353402.29,2019-01-30,True,MXN,19141.2,922
48,Corriente,160145.35,2019-01-02,True,USD,16761.47,848
49,Corriente,397798.98,2021-06-29,True,GTQ,49069.54,804
50,Nómina,354206.12,2021-01-01,True,GTQ,40555.42,619
51,Corriente,360081.11,2023-01-18,True,MXN,14187.54,857
52,Ahorro,230173.41,2019-11-29,False,COP,22373.03,977
53,Corriente,11155.38,2020-01-11,True,EUR,24354.7,724
54,Corriente,31982.04,2018-12-22,True,EUR,28917.93,971
55,Ahorro,356834.73,2020-07-03,False,USD,49324.12,221
56,Empresarial,154981.66,2022-10-26,True,EUR,12395.65,818
57,Nómina,473139.27,2016-08-13,True,GTQ,48573.54,55
58,Inversión,293765.09,2023-09-08,True,COP,4117.81,424
59,Corriente,366304.91,2017-10-16,True,USD,2444.89,952
60,Empresarial,364360.69,2018-09-21,True,GTQ,47361.21,588
61,Empresarial,402476.48,2019-04-11,False,USD,42516.01,188
62,Ahorro,155666.57,2016-12-27,False,EUR,25484.41,189
63,Inversión,200773.73,2017-07-17,True,GTQ,17646.29,770
64,Ahorro,261981.25,2015-03-25,True,COP,3898.16,383
65,Ahorro,84339.7,2020-12-07,True,GTQ,17016.12,314
66,Ahorro,400039.08,2021-05-15,True,GTQ,47829.87,194
67,Nómina,249150.86,2021-01-01,True,EUR,5751.32,700
68,Corriente,299899.18,2021-06-09,True,MXN,35612.01,901
69,Corriente,253713.63,2024-02-18,False,GTQ,31482.05,958
70,Nómina,444127.95,2023-11-25,True,EUR,46816.59,111
71,Inversión,341547.72,2021-08-14,True,GTQ,25384.9,618
72,Corriente,498671.22,2018-10-13,False,COP,41756.74,803
73,Empresarial,472011.15,2022-07-02,True,EUR,13064.89,145
74,Corriente,480197.49,2020-07-03,True,MXN,3037.93,61
75,Empresarial,405472.59,2022-05-25,True,COP,5456.72,671
76,Inversión,455942.33,2021-04-25,False,COP,32516.73,290
77,Inversión,67824.29,2023-07-25,True,EUR,47268.12,437
78,Empresarial,217625.9,2015-12-04,False,GTQ,25070.73,330
79,Nómina,242103.83,2019-05-12,True,MXN,49622.08,790
80,Inversión,385444.28,2022-11-02,True,COP,41731.6,193
81,Ahorro,153629.2,2021-08-03,True,EUR,37223.6,548
82,Ahorro,23699.05,2018-05-25,False,USD,18236.51,551
83,Ahorro,411890.69,2022-09-03,False,COP,26675.24,183
84,Nómina,185474.88,2022-11-03,True,USD,5833.89,973
85,Corriente,446188.8,2022-12-28,True,GTQ,35987.69,508
86,Corriente,285615.55,2021-11-15,True,GTQ,46182.23,211
87,Ahorro,462163.69,2015-01-20,True,EUR,49235.7,400
88,Corriente,185954.71,2024-05-24,False,GTQ,8640.52,614
89,Corriente,310919.7,2017-11-23,False,COP,35798.45,924
90,Inversión,102517.65,2024-11-08,True,MXN,34823.78,426
91,Empresarial,188628.17,2024-06-13,True,MXN,13417.85,11
92,Empresarial,20995.49,2023-08-09,False,USD,33485.19,229
93,Ahorro,318834.77,2016-04-17,True,MXN,4258.52,550
94,Inversión,83766.63,2023-04-20,True,MXN,14955.53,294
95,Inversión,427768.5,2017-12-07,True,GTQ,20350.41,907
96,Corriente,475109.52,2021-03-22,False,USD,7228.64,37
97,Empresarial,239462.01,2016-04-01,True,GTQ,41821.64,189
98,Ahorro,381294.45,2024-01-17,True,USD,22361.48,380
99,Empresarial,369199.33,2019-12-16,True,COP,38572.72,194
100,Corriente,362482.59,2015-06-29,True,USD,17726.03,974
101,Inversión,460927.7,2018-12-05,False,USD,45176.58,58
102,Empresarial,190079.17,2018-04-10,True,USD,10014.19,200
103,Inversión,329040.31,2019-12-03,True,MXN,4399.76,252
104,Nómina,264325.45,2021-03-30,True,USD,27809.04,326
105,Ahorro,55771.76,2015-09-24,False,COP,27179.41,634
106,Corriente,362067.27,2018-08-10,True,GTQ,8030.84,107
107,Corriente,3050.21,2015-01-15,True,MXN,38666.08,123
108,Corriente,381111.91,2015-05-25,True,GTQ,32794.27,933
109,Empresarial,468611.75,2022-03-26,False,EUR,34594.89,397
110,Empresarial,455129.52,2017-08-31,False,COP,13252.07,652
111,Empresarial,239616.63,2016-09-19,False,COP,44092.77,230
112,Corriente,143503.07,2023-03-14,True,MXN,49957.88,904
113,Corriente,184102.24,2015-03-27,False,EUR,8055.2,471
114,Empresarial,355371.84,2021-01-26,True,MXN,7126.19,642
115,Inversión,104129.65,2019-07-21,False,MXN,23568.5,464
116,Empresarial,476191.83,2020-03-13,True,EUR,16974.54,409
117,Corriente,361681.52,2017-04-23,True,USD,35916.9,583
118,Corriente,474007.7,2023-03-07,True,MXN,27862.07,783
119,Empresarial,187470.84,2018-06-11,True,MXN,7925.24,112
120,Nómina,326153.5,2018-05-15,False,GTQ,10771.08,346
121,Nómina,444973.33,2022-05-25,False,COP,22157.41,966
122,Empresarial,12015.31,2017-04-25,False,COP,33682.68,280
123,Nómina,384643.09,2022-03-11,False,COP,39311.09,203
124,Corriente,205703.74,2020-04-03,True,USD,38368.39,499
125,Inversión,305217.99,2023-07-24,True,GTQ,39561.15,88
126,Ahorro,4433.47,2024-09-01,True,EUR,42777.45,321
127,Inversión,101583.23,2016-09-08,True,EUR,42193.25,372
128,Nómina,454631.88,2021-07-17,False,MXN,17592.42,180
129,Inversión,151689.92,2023-12-31,True,USD,8999.58,122
130,Nómina,455124.72,2019-08-06,True,COP,28063.74,481
131,Inversión,345012.86,2017-10-18,True,USD,45550.06,100
132,Ahorro,67885.81,2019-04-10,False,MXN,24367.12,786
133,Ahorro,293129.07,2024-03-04,True,MXN,29659.67,187
134,Empresarial,447004.62,2020-07-07,True,EUR,49402.95,908
135,Inversión,34538.11,2016-07-06,True,MXN,45921.44,114
136,Corriente,480791.4,2018-08-06,True,GTQ,18380.88,819
137,Empresarial,8076.17,2024-12-28,False,USD,18895.58,259
138,Corriente,256760.06,2020-11-01,True,MXN,16609.81,171
139,Ahorro,324737.62,2022-11-09,True,EUR,22997.62,444
140,Inversión,20323.82,2023-05-30,False,GTQ,17313.02,33
141,Corriente,436032.81,2021-12-31,True,COP,1941.4,390
142,Corriente,452276.96,2019-04-06,False,GTQ,35069.13,277
143,Empresarial,167883.89,2024-01-03,False,MXN,35656.75,136
144,Inversión,359586.64,2021-03-12,True,MXN,14800.42,86
145,Empresarial,459396.18,2015-12-14,True,COP,44895.14,24
146,Corriente,403132.7,2016-03-14,True,GTQ,9678.25,67
147,Corriente,285997.21,2017-08-28,True,GTQ,1472.62,14
148,Inversión,435092.78,2021-12-04,True,USD,29554.99,989
149,Empresarial,315538.36,2018-09-17,True,COP,6976.94,722
150,Corriente,99840.7,2023-05-14,True,USD,5493.49,975
151,Ahorro,2020.18,2023-11-17,True,USD,3449.93,82
152,Empresarial,160270.44,2020-12-08,True,MXN,41060.0,726
153,Empresarial,302768.37,2017-02-01,False,EUR,36846.67,607
154,Ahorro,221313.91,2020-09-10,True,GTQ,9616.69,203
155,Inversión,72032.0,2021-01-29,True,GTQ,35440.54,78
156,Corriente,93605.32,2018-08-09,True,USD,20338.73,857
157,Nómina,148430.08,2019-08-16,True,USD,21899.64,845
158,Inversión,367748.03,2020-12-13,True,EUR,14791.01,166
159,Ahorro,30903.62,2020-07-16,True,GTQ,31372.42,838
160,Empresarial,40067.81,2023-07-29,False,GTQ,48881.22,691
161,Ahorro,159267.18,2023-08-26,True,COP,34231.58,68
162,Nómina,131292.41,2024-06-01,True,MXN,18547.51,831
163,Empresarial,185284.65,2018-05-14,False,EUR,27749.93,763
164,Corriente,114133.0,2016-11-29,True,EUR,21076.89,902
165,Empresarial,162251.45,2023-12-06,False,MXN,43565.43,476
