id_dispositivo,tipo,ip,sistema_operativo,ubicacion,marca,verificado,id_ubicacion
1,Computadora,60.149.35.117,Android,Estados Unidos,LG,True,44
2,Tablet,221.210.200.41,Android,Colombia,LG,True,123
3,Móvil,100.105.66.223,iOS,España,Xiaomi,False,171
4,ATM,41.158.103.129,macOS,España,Apple,True,37
5,ATM,17.204.126.135,Windows,Venezuela,Xiaomi,True,119
6,POS,11.46.147.166,macOS,Estados Unidos,Dell,False,77
7,ATM,157.89.212.64,iOS,Venezuela,Dell,True,118
8,ATM,234.93.48.101,Android,Argentina,HP,True,71
9,POS,75.34.111.233,macOS,Brasil,HP,False,32
10,Tablet,20.53.166.105,macOS,Colombia,Huawei,True,130
11,Móvil,119.13.37.164,macOS,Brasil,Huawei,False,103
12,Computadora,102.19.5.65,Android,Bolivia,Apple,True,172
13,ATM,125.236.34.22,Linux,Ecuador,Apple,False,113
14,Computadora,121.142.82.44,Android,Venezuela,Samsung,True,76
15,Móvil,137.200.86.20,Android,Ecuador,Huawei,True,113
16,Tablet,46.110.17.229,Linux,Argentina,Xiaomi,False,13
17,POS,165.52.199.177,Windows,Chile,Samsung,False,2
18,Móvil,198.193.103.238,iOS,Estados Unidos,Apple,True,24
19,Móvil,108.14.7.87,iOS,Ecuador,Dell,True,57
20,Móvil,205.85.85.12,macOS,Perú,Samsung,True,83
21,POS,161.97.106.240,Linux,Brasil,Xiaomi,True,60
22,Computadora,28.182.165.45,Android,Brasil,Dell,True,4
23,ATM,55.234.112.17,Windows,Ecuador,LG,True,12
24,Móvil,227.111.210.78,Linux,Chile,Samsung,False,138
25,POS,44.128.48.154,Windows,Ecuador,Dell,True,174
26,Computadora,86.89.162.251,macOS,México,Huawei,True,156
27,POS,115.195.119.129,Linux,Bolivia,Samsung,True,6
28,POS,195.63.158.61,macOS,Paraguay,Apple,False,21
29,Móvil,36.191.255.76,iOS,Colombia,Xiaomi,True,165
30,Móvil,61.227.168.35,Windows,Estados Unidos,Dell,True,134
31,ATM,166.147.12.59,Windows,Estados Unidos,Apple,True,139
32,Móvil,233.127.113.156,macOS,Perú,Huawei,True,114
33,Móvil,17.251.35.245,iOS,Guatemala,Dell,True,53
34,Computadora,24.88.104.61,Linux,México,Xiaomi,False,120
35,Tablet,43.101.125.109,iOS,Venezuela,Apple,True,74
