id_usuario,id_dispositivo,fecha_intento,resultado,cantidad_intentos,razon_fallo
1,106,2022-02-14,Bloqueado,10,Dispositivo bloqueado
1,379,2022-10-10,Exitoso,8,Contraseña incorrecta
1,346,2025-06-01,Fallido,1,Contraseña incorrecta
2,395,2023-06-21,Bloqueado,5,Sin problema
2,198,2023-04-30,Exitoso,10,Dispositivo bloqueado
2,328,2024-01-10,Exitoso,3,Dispositivo bloqueado
2,332,2023-08-18,Bloqueado,5,Contraseña incorrecta
3,522,2023-11-30,Exitoso,5,Sin problema
3,241,2024-03-13,Bloqueado,4,Contraseña incorrecta
4,323,2024-12-17,Fallido,2,Contraseña incorrecta
4,217,2023-01-24,Bloqueado,4,Sin problema
4,357,2024-05-25,Exitoso,4,Sin problema
5,127,2025-10-06,Bloqueado,4,Limitado por hora
6,212,2025-11-27,Fallido,8,Sin problema
6,524,2023-01-05,Bloqueado,2,Contraseña incorrecta
7,181,2022-11-07,Exitoso,2,Sin problema
7,107,2024-11-23,Bloqueado,1,Contraseña incorrecta
7,51,2024-11-05,Fallido,10,Contraseña incorrecta
8,212,2022-04-06,Bloqueado,2,Contraseña incorrecta
8,529,2025-08-22,Bloqueado,2,Limitado por hora
9,166,2022-02-06,Bloqueado,3,Limitado por hora
10,559,2022-09-02,Fallido,4,Contraseña incorrecta
11,532,2024-05-13,Exitoso,9,Contraseña incorrecta
11,379,2024-11-01,Bloqueado,9,Sin problema
11,372,2025-01-16,Bloqueado,8,Limitado por hora
12,513,2022-03-16,Fallido,7,Limitado por hora
12,583,2022-04-16,Exitoso,5,Dispositivo bloqueado
12,429,2023-06-20,Fallido,3,Contraseña incorrecta
12,353,2025-03-23,Bloqueado,7,Dispositivo bloqueado
13,29,2025-11-15,Bloqueado,10,Contraseña incorrecta
13,484,2022-03-01,Exitoso,10,Sin problema
13,497,2024-02-03,Fallido,3,Contraseña incorrecta
14,568,2025-04-08,Bloqueado,1,Sin problema
14,309,2024-08-07,Fallido,9,Contraseña incorrecta
14,412,2023-01-25,Bloqueado,10,Sin problema
15,402,2024-01-02,Bloqueado,7,Limitado por hora
15,538,2022-08-07,Fallido,1,Contraseña incorrecta
15,278,2025-01-08,Fallido,6,Dispositivo bloqueado
16,248,2024-05-12,Fallido,10,Contraseña incorrecta
16,177,2024-05-03,Exitoso,4,Dispositivo bloqueado
16,353,2025-10-29,Fallido,1,Sin problema
17,486,2024-01-06,Bloqueado,7,Limitado por hora
18,299,2023-09-19,Bloqueado,7,Limitado por hora
19,532,2025-09-28,Fallido,10,Sin problema
19,538,2025-11-21,Bloqueado,6,Limitado por hora
19,126,2022-04-11,Fallido,1,Limitado por hora
20,99,2023-06-10,Exitoso,3,Contraseña incorrecta
21,348,2025-04-21,Fallido,1,Limitado por hora
21,360,2024-12-03,Fallido,6,Contraseña incorrecta
22,371,2022-02-16,Bloqueado,5,Dispositivo bloqueado
22,220,2024-06-09,Exitoso,5,Dispositivo bloqueado
23,68,2024-12-27,Exitoso,8,Dispositivo bloqueado
23,331,2024-06-19,Bloqueado,6,Limitado por hora
23,413,2024-12-07,Exitoso,7,Contraseña incorrecta
23,445,2025-05-10,Bloqueado,1,Sin problema
24,240,2025-08-20,Exitoso,4,Limitado por hora
24,364,2025-06-15,Bloqueado,1,Limitado por hora
24,480,2023-07-18,Fallido,8,Dispositivo bloqueado
24,221,2023-02-04,Fallido,1,Limitado por hora
25,329,2023-11-24,Fallido,1,Sin problema
26,212,2023-02-03,Fallido,4,Sin problema
26,482,2022-10-02,Bloqueado,8,Dispositivo bloqueado
27,230,2022-07-17,Bloqueado,9,Dispositivo bloqueado
27,241,2023-06-12,Exitoso,3,Limitado por hora
27,128,2025-10-21,Exitoso,2,Dispositivo bloqueado
27,534,2023-10-18,Exitoso,7,Contraseña incorrecta
28,214,2022-06-21,Exitoso,8,Dispositivo bloqueado
28,481,2024-08-28,Bloqueado,9,Dispositivo bloqueado
29,145,2022-03-07,Fallido,5,Contraseña incorrecta
29,19,2025-11-28,Exitoso,2,Limitado por hora
29,402,2024-11-11,Exitoso,8,Contraseña incorrecta
29,409,2023-04-10,Bloqueado,5,Sin problema
30,522,2025-01-22,Exitoso,5,Limitado por hora
31,263,2022-08-10,Bloqueado,2,Contraseña incorrecta
31,475,2022-06-12,Bloqueado,6,Sin problema
31,199,2022-08-14,Bloqueado,5,Contraseña incorrecta
31,552,2025-02-21,Exitoso,8,Limitado por hora
32,277,2023-03-06,Bloqueado,5,Limitado por hora
32,239,2024-01-31,Fallido,2,Limitado por hora
33,325,2023-07-28,Fallido,4,Limitado por hora
33,293,2023-11-13,Fallido,2,Dispositivo bloqueado
34,190,2024-07-07,Fallido,8,Contraseña incorrecta
34,127,2025-11-10,Bloqueado,10,Sin problema
34,453,2022-06-01,Exitoso,4,Contraseña incorrecta
34,435,2024-06-26,Bloqueado,2,Contraseña incorrecta
35,340,2023-12-28,Fallido,3,Contraseña incorrecta
36,252,2025-04-21,Bloqueado,10,Limitado por hora
36,463,2025-09-21,Bloqueado,1,Dispositivo bloqueado
36,106,2023-05-28,Bloqueado,6,Limitado por hora
36,86,2023-03-20,Fallido,5,Contraseña incorrecta
37,250,2024-01-24,Bloqueado,1,Limitado por hora
37,249,2022-09-19,Bloqueado,8,Limitado por hora
38,348,2023-06-17,Bloqueado,9,Dispositivo bloqueado
38,39,2022-02-01,Fallido,3,Sin problema
38,4,2025-11-04,Bloqueado,10,Limitado por hora
39,471,2024-04-14,Bloqueado,1,Sin problema
39,586,2024-04-11,Bloqueado,7,Limitado por hora
39,453,2025-03-18,Exitoso,10,Contraseña incorrecta
40,551,2025-10-10,Exitoso,7,Sin problema
40,506,2025-04-06,Bloqueado,10,Sin problema
40,581,2024-09-24,Bloqueado,9,Contraseña incorrecta
40,17,2024-10-20,Bloqueado,10,Contraseña incorrecta
41,533,2022-05-25,Exitoso,2,Contraseña incorrecta
41,414,2022-09-24,Fallido,1,Contraseña incorrecta
42,343,2025-10-24,Exitoso,7,Dispositivo bloqueado
43,494,2023-08-09,Fallido,6,Limitado por hora
43,198,2022-12-31,Exitoso,6,Sin problema
43,375,2023-09-17,Bloqueado,7,Limitado por hora
43,535,2024-12-02,Bloqueado,5,Sin problema
44,592,2023-11-10,Fallido,8,Dispositivo bloqueado
44,186,2022-01-16,Exitoso,3,Contraseña incorrecta
44,230,2023-09-15,Exitoso,8,Sin problema
45,180,2025-12-20,Fallido,4,Sin problema
45,126,2023-05-19,Bloqueado,8,Contraseña incorrecta
45,280,2025-05-29,Exitoso,9,Dispositivo bloqueado
46,586,2024-04-05,Bloqueado,7,Dispositivo bloqueado
47,229,2024-12-19,Bloqueado,6,Contraseña incorrecta
47,477,2023-10-07,Exitoso,3,Contraseña incorrecta
47,13,2024-09-19,Exitoso,2,Dispositivo bloqueado
47,585,2025-10-23,Bloqueado,1,Dispositivo bloqueado
48,6,2022-12-30,Exitoso,3,Dispositivo bloqueado
48,508,2025-08-28,Exitoso,4,Contraseña incorrecta
48,87,2023-04-30,Bloqueado,4,Limitado por hora
48,548,2022-02-04,Exitoso,7,Dispositivo bloqueado
49,419,2023-07-23,Exitoso,10,Contraseña incorrecta
50,335,2024-01-21,Exitoso,8,Contraseña incorrecta
50,180,2022-01-16,Exitoso,9,Contraseña incorrecta
50,132,2023-09-06,Fallido,10,Sin problema
51,41,2025-07-10,Fallido,2,Sin problema
