id_usuario_reportador,id_usuario_reportado,fecha_reporte,tipo_reporte,estado,comentarios
1,641,2023-06-28,Fraude,Cerrado,Reporte_8843
1,607,2025-10-25,Comportamiento sospechoso,Nuevo,Reporte_6753
2,145,2022-09-15,Fraude,Nuevo,Reporte_2025
2,982,2023-04-12,Comportamiento sospechoso,Nuevo,Reporte_1425
3,841,2024-04-26,Comportamiento sospechoso,Cerrado,Reporte_5069
4,582,2023-03-19,Phishing,En revisión,Reporte_7883
6,522,2023-02-19,Solicitud de datos,Nuevo,Reporte_3036
6,803,2023-12-03,Solicitud de datos,En revisión,Reporte_6014
7,88,2025-08-01,Solicitud de datos,En revisión,Reporte_3492
9,717,2023-10-29,Comportamiento sospechoso,Cerrado,Reporte_9473
10,642,2023-07-06,Solicitud de datos,Cerrado,Reporte_2298
10,437,2025-08-04,Phishing,En revisión,Reporte_2603
11,693,2023-10-22,Solicitud de datos,Cerrado,Reporte_3796
12,864,2025-07-27,Solicitud de datos,Cerrado,Reporte_2048
12,900,2023-06-13,Fraude,En revisión,Reporte_6380
13,31,2022-06-26,Comportamiento sospechoso,En revisión,Reporte_8458
13,15,2022-01-25,Comportamiento sospechoso,Cerrado,Reporte_1267
15,195,2025-08-05,Phishing,En revisión,Reporte_6473
16,969,2022-07-05,Fraude,Cerrado,Reporte_3791
16,540,2025-07-05,Solicitud de datos,Cerrado,Reporte_2273
19,529,2023-03-07,Comportamiento sospechoso,En revisión,Reporte_8330
19,37,2022-07-05,Solicitud de datos,Nuevo,Reporte_2593
20,89,2025-09-15,Comportamiento sospechoso,Cerrado,Reporte_5868
22,710,2023-05-27,Comportamiento sospechoso,Nuevo,Reporte_6917
24,15,2025-06-09,Comportamiento sospechoso,Nuevo,Reporte_1471
25,398,2024-01-03,Comportamiento sospechoso,Cerrado,Reporte_5592
25,983,2023-07-17,Fraude,Cerrado,Reporte_1197
26,600,2025-04-06,Comportamiento sospechoso,Cerrado,Reporte_3550
26,671,2025-09-19,Phishing,Nuevo,Reporte_6472
27,878,2025-04-01,Solicitud de datos,Nuevo,Reporte_1189
28,241,2025-05-30,Solicitud de datos,En revisión,Reporte_3240
28,673,2023-11-26,Fraude,Cerrado,Reporte_9205
31,978,2025-07-18,Comportamiento sospechoso,Nuevo,Reporte_5945
31,837,2025-04-15,Fraude,Nuevo,Reporte_3922
32,231,2025-05-08,Solicitud de datos,En revisión,Reporte_4590
33,302,2023-06-13,Solicitud de datos,Nuevo,Reporte_8330
34,885,2023-10-16,Comportamiento sospechoso,En revisión,Reporte_4122
35,560,2022-12-15,Phishing,Nuevo,Reporte_5448
35,31,2025-03-03,Fraude,En revisión,Reporte_1547
36,711,2025-03-05,Comportamiento sospechoso,En revisión,Reporte_6001
36,924,2023-03-12,Phishing,En revisión,Reporte_9144
37,154,2025-02-19,Phishing,En revisión,Reporte_6779
37,595,2024-11-29,Solicitud de datos,En revisión,Reporte_9592
39,589,2025-02-09,Fraude,Nuevo,Reporte_6832
41,237,2022-08-12,Comportamiento sospechoso,En revisión,Reporte_3587
41,596,2025-07-03,Phishing,Nuevo,Reporte_9201
42,761,2025-10-12,Phishing,En revisión,Reporte_6866
43,498,2022-12-14,Phishing,En revisión,Reporte_5064
43,670,2024-02-08,Phishing,Cerrado,Reporte_6424
44,725,2024-10-26,Comportamiento sospechoso,Cerrado,Reporte_9926
44,76,2022-08-05,Comportamiento sospechoso,En revisión,Reporte_8979
45,541,2024-07-29,Phishing,Cerrado,Reporte_7695
46,539,2022-03-02,Comportamiento sospechoso,Nuevo,Reporte_8511
46,309,2023-10-04,Fraude,Nuevo,Reporte_6461
48,474,2022-06-02,Solicitud de datos,Cerrado,Reporte_2390
50,40,2022-02-19,Phishing,Nuevo,Reporte_1856
50,252,2023-11-30,Phishing,Cerrado,Reporte_8779
51,995,2022-07-20,Solicitud de datos,Cerrado,Reporte_3830
52,403,2023-03-31,Phishing,En revisión,Reporte_6011
52,817,2025-02-01,Solicitud de datos,Cerrado,Reporte_9267
54,936,2022-03-18,Fraude,Nuevo,Reporte_9277
55,738,2025-08-11,Comportamiento sospechoso,Cerrado,Reporte_6878
56,558,2023-01-12,Fraude,En revisión,Reporte_7615
56,645,2022-07-26,Solicitud de datos,Cerrado,Reporte_3744
57,32,2022-06-20,Fraude,Nuevo,Reporte_9423
58,507,2022-09-14,Fraude,En revisión,Reporte_3147
58,702,2025-01-13,Phishing,En revisión,Reporte_1033
59,622,2024-02-18,Solicitud de datos,Cerrado,Reporte_9279
60,800,2023-05-30,Solicitud de datos,Cerrado,Reporte_5715
61,249,2022-06-28,Solicitud de datos,Nuevo,Reporte_4239
61,952,2022-10-02,Phishing,Nuevo,Reporte_7683
63,725,2025-02-07,Fraude,En revisión,Reporte_3626
64,292,2023-03-21,Comportamiento sospechoso,Cerrado,Reporte_6953
65,585,2023-03-10,Phishing,Cerrado,Reporte_9015
66,940,2023-06-28,Phishing,En revisión,Reporte_3242
66,892,2022-04-17,Comportamiento sospechoso,Nuevo,Reporte_3668
67,57,2025-04-09,Fraude,En revisión,Reporte_1672
68,646,2023-03-08,Comportamiento sospechoso,En revisión,Reporte_1931
68,201,2024-07-14,Phishing,En revisión,Reporte_1202
69,184,2025-08-28,Solicitud de datos,Cerrado,Reporte_3826
69,352,2025-11-29,Phishing,En revisión,Reporte_2112
70,381,2022-06-21,Comportamiento sospechoso,En revisión,Reporte_2423
71,950,2025-01-19,Phishing,Cerrado,Reporte_3912
71,956,2025-11-08,Solicitud de datos,Nuevo,Reporte_1902
75,769,2025-08-26,Fraude,Nuevo,Reporte_3788
79,698,2024-10-30,Solicitud de datos,Cerrado,Reporte_5589
79,994,2025-10-19,Comportamiento sospechoso,En revisión,Reporte_2554
82,431,2025-08-26,Fraude,En revisión,Reporte_9752
83,440,2022-01-16,Solicitud de datos,Cerrado,Reporte_7608
84,296,2025-08-21,Phishing,Nuevo,Reporte_8436
86,501,2022-07-30,Phishing,Cerrado,Reporte_7072
87,587,2025-06-06,Phishing,Cerrado,Reporte_4845
87,931,2023-05-21,Fraude,Nuevo,Reporte_9964
88,598,2024-10-21,Comportamiento sospechoso,Nuevo,Reporte_2453
88,521,2024-05-30,Fraude,En revisión,Reporte_5405
93,169,2024-02-12,Phishing,En revisión,Reporte_8373
93,278,2024-11-16,Comportamiento sospechoso,En revisión,Reporte_7581
94,507,2023-09-18,Solicitud de datos,Cerrado,Reporte_6332
94,351,2022-02-19,Comportamiento sospechoso,En revisión,Reporte_6133
