id_usuario_1,id_usuario_2,fecha_investigacion,nivel_riesgo,razon,investigador
2,601,2023-10-30,Medio,Actividad sospechosa,Inv_9
2,96,2025-05-19,Alto,Actividad sospechosa,Inv_4
2,193,2023-01-26,Bajo,Conexiones comunes,Inv_8
3,399,2024-02-28,Medio,Patrones similares,Inv_4
5,356,2022-01-06,Medio,Actividad sospechosa,Inv_10
5,581,2022-02-25,Alto,Conexiones comunes,Inv_5
5,22,2024-11-22,Bajo,Patrones similares,Inv_7
6,113,2022-04-28,Alto,Patrones similares,Inv_8
6,639,2024-02-09,Medio,Patrones similares,Inv_1
6,824,2023-10-30,Alto,Patrones similares,Inv_1
7,337,2023-03-17,Alto,Conexiones comunes,Inv_5
7,594,2023-07-11,Medio,Actividad sospechosa,Inv_6
7,730,2024-12-27,Bajo,Actividad sospechosa,Inv_4
9,889,2024-06-09,Medio,Actividad sospechosa,Inv_6
9,263,2025-03-02,Bajo,Conexiones comunes,Inv_8
11,788,2024-04-20,Alto,Actividad sospechosa,Inv_9
14,643,2025-07-14,Alto,Actividad sospechosa,Inv_7
14,722,2025-07-08,Alto,Patrones similares,Inv_3
14,61,2022-06-15,Alto,Conexiones comunes,Inv_1
15,24,2024-10-01,Alto,Actividad sospechosa,Inv_2
16,757,2024-05-17,Bajo,Patrones similares,Inv_3
16,335,2023-11-18,Alto,Actividad sospechosa,Inv_2
16,87,2025-08-17,Alto,Actividad sospechosa,Inv_10
18,756,2024-06-19,Medio,Conexiones comunes,Inv_2
19,872,2022-07-15,Alto,Patrones similares,Inv_8
19,515,2023-06-29,Medio,Patrones similares,Inv_5
20,480,2024-06-09,Alto,Patrones similares,Inv_1
20,261,2025-09-10,Bajo,Conexiones comunes,Inv_10
20,455,2024-04-22,Medio,Conexiones comunes,Inv_2
21,347,2023-06-10,Medio,Conexiones comunes,Inv_9
22,817,2024-06-21,Alto,Actividad sospechosa,Inv_6
22,90,2025-05-03,Medio,Patrones similares,Inv_5
25,29,2025-11-19,Alto,Patrones similares,Inv_6
25,311,2025-08-13,Medio,Conexiones comunes,Inv_10
26,175,2025-08-22,Alto,Conexiones comunes,Inv_3
26,849,2022-08-13,Medio,Conexiones comunes,Inv_4
26,565,2025-06-13,Medio,Actividad sospechosa,Inv_4
28,923,2024-04-06,Medio,Actividad sospechosa,Inv_7
28,498,2024-01-01,Alto,Patrones similares,Inv_5
28,660,2023-09-02,Bajo,Patrones similares,Inv_4
30,493,2025-04-21,Alto,Conexiones comunes,Inv_1
30,415,2023-12-12,Alto,Patrones similares,Inv_2
31,285,2024-01-26,Bajo,Conexiones comunes,Inv_8
32,447,2023-04-04,Medio,Patrones similares,Inv_10
33,753,2024-11-13,Bajo,Patrones similares,Inv_10
33,143,2022-10-27,Medio,Patrones similares,Inv_7
33,426,2022-12-17,Bajo,Actividad sospechosa,Inv_4
34,185,2024-05-09,Bajo,Patrones similares,Inv_8
34,645,2024-07-05,Bajo,Conexiones comunes,Inv_6
35,518,2022-05-18,Bajo,Patrones similares,Inv_7
35,101,2023-01-24,Medio,Actividad sospechosa,Inv_5
36,845,2024-07-15,Bajo,Patrones similares,Inv_9
37,219,2023-02-19,Alto,Patrones similares,Inv_1
39,333,2025-11-01,Bajo,Patrones similares,Inv_5
40,483,2023-09-25,Bajo,Conexiones comunes,Inv_2
40,558,2024-02-02,Bajo,Patrones similares,Inv_2
40,779,2022-06-08,Medio,Conexiones comunes,Inv_5
41,332,2024-04-29,Bajo,Actividad sospechosa,Inv_9
42,348,2023-01-31,Alto,Patrones similares,Inv_9
42,265,2025-01-16,Bajo,Patrones similares,Inv_7
42,295,2025-02-26,Bajo,Patrones similares,Inv_6
43,841,2025-12-12,Alto,Conexiones comunes,Inv_5
44,975,2024-12-02,Medio,Patrones similares,Inv_7
44,394,2023-02-02,Alto,Actividad sospechosa,Inv_4
46,136,2022-11-26,Bajo,Conexiones comunes,Inv_9
48,4,2022-07-15,Alto,Patrones similares,Inv_2
48,852,2025-12-06,Medio,Conexiones comunes,Inv_8
48,270,2025-10-10,Bajo,Patrones similares,Inv_6
50,107,2025-01-20,Alto,Patrones similares,Inv_4
51,16,2025-08-27,Bajo,Conexiones comunes,Inv_10
51,731,2022-05-29,Alto,Conexiones comunes,Inv_5
52,645,2024-01-19,Medio,Conexiones comunes,Inv_7
52,951,2025-04-06,Alto,Conexiones comunes,Inv_3
53,207,2024-04-21,Medio,Patrones similares,Inv_2
53,498,2022-09-09,Alto,Patrones similares,Inv_1
54,313,2024-01-22,Alto,Conexiones comunes,Inv_5
56,349,2024-02-19,Medio,Actividad sospechosa,Inv_3
56,214,2022-01-12,Bajo,Patrones similares,Inv_3
56,300,2023-01-01,Bajo,Patrones similares,Inv_8
58,395,2023-09-30,Bajo,Patrones similares,Inv_4
58,754,2025-11-21,Medio,Patrones similares,Inv_10
58,638,2025-06-24,Medio,Actividad sospechosa,Inv_3
62,137,2025-06-10,Bajo,Conexiones comunes,Inv_1
62,859,2025-06-14,Alto,Actividad sospechosa,Inv_4
64,832,2024-08-22,Medio,Actividad sospechosa,Inv_5
64,129,2022-04-08,Alto,Actividad sospechosa,Inv_2
64,746,2022-07-11,Medio,Actividad sospechosa,Inv_4
71,402,2022-03-15,Bajo,Conexiones comunes,Inv_3
71,664,2022-04-06,Medio,Actividad sospechosa,Inv_6
72,921,2024-05-05,Alto,Conexiones comunes,Inv_6
72,92,2022-02-12,Bajo,Actividad sospechosa,Inv_10
72,367,2023-03-08,Medio,Actividad sospechosa,Inv_3
73,471,2025-12-16,Alto,Patrones similares,Inv_10
74,756,2025-05-14,Bajo,Patrones similares,Inv_6
75,186,2023-09-22,Medio,Actividad sospechosa,Inv_9
77,792,2024-04-18,Alto,Actividad sospechosa,Inv_7
77,366,2024-08-05,Medio,Conexiones comunes,Inv_6
77,320,2023-03-13,Alto,Conexiones comunes,Inv_10
78,568,2025-03-06,Bajo,Conexiones comunes,Inv_7
79,781,2022-05-30,Bajo,Actividad sospechosa,Inv_5
80,701,2023-04-30,Medio,Conexiones comunes,Inv_5
80,596,2025-12-11,Alto,Patrones similares,Inv_2
81,35,2024-11-09,Medio,Actividad sospechosa,Inv_8
81,558,2025-10-26,Bajo,Actividad sospechosa,Inv_3
81,149,2022-12-01,Bajo,Actividad sospechosa,Inv_5
82,650,2025-03-19,Medio,Conexiones comunes,Inv_8
82,808,2025-09-29,Medio,Actividad sospechosa,Inv_5
83,805,2025-09-23,Medio,Actividad sospechosa,Inv_5
83,309,2023-11-04,Bajo,Actividad sospechosa,Inv_5
84,121,2025-07-12,Medio,Conexiones comunes,Inv_3
86,136,2024-02-17,Alto,Patrones similares,Inv_8
86,66,2023-03-26,Bajo,Actividad sospechosa,Inv_2
87,240,2024-12-31,Bajo,Conexiones comunes,Inv_7
87,805,2023-07-31,Alto,Conexiones comunes,Inv_2
88,217,2025-05-16,Medio,Conexiones comunes,Inv_5
89,758,2025-07-29,Bajo,Conexiones comunes,Inv_10
89,797,2022-08-17,Bajo,Conexiones comunes,Inv_3
91,814,2024-08-17,Medio,Actividad sospechosa,Inv_4
91,62,2025-06-24,Alto,Conexiones comunes,Inv_9
91,28,2023-05-09,Alto,Actividad sospechosa,Inv_4
92,410,2025-02-19,Medio,Patrones similares,Inv_1
92,732,2024-09-07,Medio,Patrones similares,Inv_10
95,563,2022-11-20,Alto,Actividad sospechosa,Inv_10
97,905,2023-10-19,Bajo,Conexiones comunes,Inv_4
98,545,2025-07-31,Medio,Conexiones comunes,Inv_1
98,372,2022-03-17,Medio,Actividad sospechosa,Inv_2
99,97,2025-11-03,Bajo,Conexiones comunes,Inv_7
99,137,2024-08-01,Alto,Conexiones comunes,Inv_7
100,165,2022-05-27,Medio,Actividad sospechosa,Inv_7
100,949,2022-11-28,Alto,Conexiones comunes,Inv_3
100,318,2023-04-17,Alto,Patrones similares,Inv_5
101,893,2024-01-13,Medio,Conexiones comunes,Inv_2
101,727,2023-07-04,Alto,Actividad sospechosa,Inv_8
102,209,2025-08-24,Bajo,Patrones similares,Inv_5
102,266,2024-02-28,Alto,Patrones similares,Inv_4
103,330,2023-10-27,Medio,Conexiones comunes,Inv_1
103,92,2022-09-14,Alto,Patrones similares,Inv_3
105,574,2022-07-25,Bajo,Patrones similares,Inv_3
105,996,2022-04-20,Medio,Actividad sospechosa,Inv_4
107,25,2025-03-04,Alto,Patrones similares,Inv_3
108,730,2022-03-23,Bajo,Actividad sospechosa,Inv_5
110,437,2024-04-14,Alto,Conexiones comunes,Inv_1
110,840,2025-10-24,Medio,Actividad sospechosa,Inv_4
110,714,2025-01-26,Bajo,Actividad sospechosa,Inv_3
111,725,2024-04-17,Medio,Conexiones comunes,Inv_1
111,701,2022-02-07,Alto,Patrones similares,Inv_10
111,968,2025-09-20,Medio,Conexiones comunes,Inv_4
112,708,2023-08-25,Alto,Actividad sospechosa,Inv_7
112,190,2024-01-19,Alto,Actividad sospechosa,Inv_6
115,93,2023-03-22,Medio,Conexiones comunes,Inv_4
