id_dispositivo,id_ubicacion,fecha,precision,verificado
1,44,2024-12-17,0.78,False
2,123,2023-06-24,0.81,True
3,171,2025-01-27,0.99,False
4,37,2022-02-01,0.8,True
5,119,2025-01-18,0.97,False
6,77,2023-12-25,1.0,False
7,118,2022-05-23,0.81,True
8,71,2024-10-20,0.82,True
9,32,2025-11-08,0.98,False
10,130,2024-11-11,0.73,False
11,103,2022-03-17,0.67,False
12,172,2022-11-10,0.61,True
13,113,2024-01-31,0.7,True
14,76,2025-04-11,0.82,False
15,113,2023-07-12,0.81,True
16,13,2024-01-09,0.51,True
17,2,2022-10-11,0.92,True
18,24,2023-11-17,0.53,False
19,57,2025-07-10,0.69,False
20,83,2024-06-05,0.92,False
21,60,2022-03-01,0.99,True
22,4,2024-11-13,0.93,False
23,12,2025-11-26,0.73,False
24,138,2024-09-19,0.77,True
25,174,2024-09-02,0.79,True
26,156,2025-04-10,0.55,False
27,6,2024-09-25,0.63,False
28,21,2022-11-08,0.94,True
29,165,2025-12-14,0.6,True
30,134,2022-06-19,0.85,False
31,139,2022-02-07,0.8,True
32,114,2022-10-10,0.73,False
33,53,2024-10-15,0.54,False
34,120,2023-01-19,0.63,True
35,74,2022-12-11,0.54,True
36,97,2025-07-19,0.79,True
37,124,2024-06-13,0.82,True
38,138,2023-04-26,0.74,True
39,97,2025-07-19,0.97,True
40,40,2023-03-25,0.97,True
41,96,2022-01-16,0.81,True
42,42,2022-07-20,1.0,False
43,163,2022-11-29,0.62,True
44,123,2023-03-01,0.65,True
45,175,2023-02-06,0.87,True
46,183,2024-11-20,0.72,True
47,65,2024-01-17,0.71,False
48,28,2025-02-05,0.7,True
49,79,2025-09-10,0.98,True
50,107,2022-03-06,0.52,False
51,35,2025-02-13,0.79,False
52,52,2025-12-03,0.88,True
53,28,2023-11-02,0.73,False
54,8,2022-04-19,0.96,False
55,193,2023-07-07,0.61,False
56,155,2024-07-18,0.77,True
57,95,2024-09-11,0.73,False
58,92,2025-06-22,0.96,True
59,7,2023-08-01,0.94,True
60,122,2023-12-13,0.83,True
61,12,2023-08-28,0.64,False
62,21,2022-07-09,0.94,False
63,183,2023-06-02,0.56,True
64,141,2022-03-14,0.5,False
65,44,2024-01-15,0.71,True
66,57,2024-03-21,0.7,False
67,126,2023-08-18,0.93,False
68,165,2025-09-28,0.67,False
69,75,2023-03-27,0.75,False
70,147,2024-05-21,0.72,False
71,138,2025-06-20,0.8,True
72,134,2025-09-19,0.61,False
73,81,2022-09-29,0.62,True
74,38,2024-05-26,0.59,False
75,147,2024-05-28,0.99,False
76,40,2025-06-11,0.82,False
77,101,2022-07-18,0.66,True
78,122,2025-01-28,0.76,False
79,179,2023-03-23,0.86,True
80,14,2025-09-12,0.69,True
81,56,2023-02-16,0.54,False
82,97,2022-06-18,0.81,True
83,31,2025-10-19,0.99,False
84,63,2024-06-01,0.56,True
85,168,2024-06-28,0.95,True
86,114,2024-09-20,0.75,False
87,131,2023-01-20,0.65,False
88,99,2025-03-29,0.89,False
89,183,2022-12-16,0.87,True
90,126,2025-06-24,0.94,True
91,178,2024-09-15,0.88,True
92,168,2025-06-03,0.85,False
93,140,2025-02-15,0.58,True
94,169,2023-12-11,0.76,False
95,138,2025-09-26,0.97,False
96,56,2025-09-16,0.6,True
97,20,2025-07-23,0.85,False
98,66,2025-11-26,0.84,False
99,50,2023-09-16,0.51,False
100,98,2023-09-22,0.72,True
101,141,2024-07-13,0.6,False
102,58,2022-11-07,0.79,False
103,45,2022-08-02,0.87,False
104,73,2024-04-14,0.67,False
105,89,2025-04-22,0.79,True
106,132,2024-02-28,0.56,True
107,186,2023-08-16,0.63,False
108,120,2022-09-12,0.54,True
109,79,2025-05-08,0.66,False
110,24,2023-10-04,0.54,True
111,109,2023-08-16,0.55,True
112,179,2024-11-18,0.98,True
113,137,2023-09-30,0.77,True
114,58,2022-05-17,0.98,True
115,98,2025-10-05,0.73,False
116,75,2023-05-31,0.8,True
117,101,2023-09-16,0.65,True
118,15,2023-05-18,0.75,False
119,185,2023-01-03,0.51,False
120,136,2024-02-20,0.81,False
121,65,2024-06-10,0.97,True
122,69,2024-02-17,0.84,False
123,2,2022-06-06,0.68,False
124,108,2023-04-12,0.59,False
125,31,2024-11-26,0.64,True
126,100,2023-02-17,0.63,False
127,197,2024-11-03,0.53,True
128,123,2024-09-24,0.56,False
129,187,2024-09-13,0.82,False
130,64,2023-12-08,0.55,False
131,152,2022-07-22,0.64,False
132,110,2023-11-01,0.77,True
133,79,2025-01-16,0.74,True
