id_usuario,id_dispositivo,fecha_uso,frecuencia,activo
1,396,2022-01-09,197,True
1,333,2022-02-25,157,False
1,158,2024-10-12,5,True
2,25,2023-09-28,63,False
3,389,2024-05-28,132,True
3,479,2022-03-24,128,False
4,399,2022-03-29,189,True
5,323,2024-09-03,188,False
5,429,2024-05-23,52,True
6,30,2024-01-01,53,True
6,199,2024-12-21,15,False
6,539,2022-10-29,52,True
7,578,2024-07-31,8,True
8,595,2025-01-15,44,True
8,476,2024-10-20,13,False
8,478,2024-01-12,26,False
9,406,2022-10-11,27,True
9,577,2024-11-04,170,False
9,424,2023-01-21,104,True
10,179,2024-11-01,167,False
10,70,2024-05-17,140,False
10,397,2022-01-24,4,True
11,517,2025-10-26,135,True
11,164,2024-09-23,151,True
12,168,2024-01-27,44,False
12,273,2024-02-12,83,False
13,433,2025-01-23,199,True
14,461,2025-05-07,35,True
14,293,2022-07-26,171,False
14,468,2025-05-23,114,True
15,127,2022-03-26,143,True
16,218,2023-06-26,144,False
16,5,2025-06-19,140,True
16,265,2023-06-12,136,True
17,588,2022-04-02,70,False
17,253,2023-01-30,66,True
17,326,2025-01-09,97,False
18,139,2024-03-03,16,True
18,103,2023-03-20,18,False
19,31,2024-05-14,181,True
19,425,2023-09-02,15,True
19,592,2024-09-02,163,False
20,228,2025-08-04,7,False
20,511,2025-02-12,3,False
21,456,2024-12-09,45,False
22,247,2024-06-17,28,True
22,429,2024-12-13,136,True
23,295,2022-06-14,86,True
24,554,2025-07-27,26,True
24,451,2023-02-15,183,True
25,172,2022-09-02,123,False
25,347,2024-03-05,36,True
26,283,2023-06-01,64,True
26,114,2024-10-14,140,True
27,232,2022-03-21,91,False
27,490,2024-04-16,112,True
28,541,2023-09-25,4,True
29,281,2024-04-01,65,True
29,118,2023-11-12,114,True
29,302,2024-04-12,99,True
30,498,2024-11-12,170,True
31,352,2025-07-16,33,True
32,308,2022-11-03,68,True
32,576,2024-05-14,103,True
32,179,2025-06-03,46,False
33,57,2024-08-06,42,True
33,431,2024-08-25,158,True
33,45,2024-06-06,171,True
34,322,2023-06-17,27,True
35,168,2024-06-16,184,True
35,571,2024-04-13,172,False
35,539,2023-03-24,61,False
36,208,2025-01-03,171,False
37,400,2022-10-10,40,True
37,259,2024-05-16,167,False
37,432,2023-01-18,145,True
38,89,2022-05-04,59,True
38,412,2024-02-03,128,True
39,568,2022-04-17,144,True
39,206,2024-10-01,167,True
39,313,2025-04-02,42,True
40,493,2023-04-20,161,True
41,409,2022-03-06,14,False
42,153,2024-05-26,106,True
43,38,2025-04-14,112,True
43,292,2025-05-23,10,False
44,7,2022-04-07,153,True
45,402,2023-12-30,171,False
45,331,2023-09-25,87,True
46,255,2022-03-21,14,True
46,486,2024-11-28,69,True
46,134,2025-09-02,189,True
47,306,2025-08-25,177,True
47,5,2025-08-17,81,True
47,134,2023-11-28,171,False
48,585,2024-11-03,118,False
48,203,2022-04-26,128,True
48,162,2022-08-12,106,True
49,410,2025-03-12,28,True
49,459,2022-05-02,161,False
50,414,2022-05-15,31,True
50,96,2023-03-14,172,True
50,1,2025-08-02,38,True
51,23,2024-04-13,70,True
52,470,2024-05-11,66,True
53,590,2025-08-16,79,False
53,424,2023-11-25,36,True
54,365,2022-05-05,82,True
54,292,2024-10-19,126,False
54,270,2022-06-12,21,True
55,161,2024-11-07,96,False
56,361,2023-01-29,184,False
56,551,2024-10-17,88,True
56,575,2024-10-07,82,False
57,192,2022-05-02,67,False
57,72,2025-10-10,89,True
57,168,2024-12-20,189,True
58,51,2022-07-22,103,True
59,237,2022-02-11,169,True
59,138,2025-05-20,127,True
59,286,2023-08-27,165,True
60,234,2022-10-25,152,False
61,354,2025-10-22,117,False
61,439,2024-10-18,178,False
62,290,2025-12-19,14,True
62,484,2024-07-19,34,True
62,403,2023-07-16,159,True
63,523,2023-03-09,170,True
64,577,2022-01-21,105,True
65,77,2022-02-14,9,False
65,587,2024-06-24,144,True
65,299,2022-12-22,158,False
66,593,2025-03-13,64,True
67,266,2022-09-26,32,True
67,515,2022-09-17,109,True
68,358,2025-05-22,121,True
68,185,2023-08-06,133,False
68,74,2022-01-04,88,False
69,481,2025-02-28,147,False
69,91,2024-01-11,197,False
70,268,2023-04-14,68,False
70,360,2024-02-15,90,True
70,151,2023-04-02,74,True
71,282,2022-04-25,184,True
71,28,2024-11-18,198,True
72,222,2022-05-26,188,True
72,337,2025-06-03,167,True
73,331,2024-07-10,139,False
74,276,2023-10-30,159,True
74,484,2023-03-05,177,False
74,127,2022-11-16,134,True
75,104,2022-05-27,47,True
76,156,2022-07-13,169,False
76,81,2023-10-17,66,True
77,567,2024-10-31,150,True
77,476,2025-07-25,117,True
78,60,2024-01-28,8,True
78,26,2025-06-27,95,False
79,21,2025-07-31,103,True
79,395,2025-10-01,56,True
79,455,2024-04-08,46,True
80,208,2022-09-24,110,True
80,464,2022-11-10,1,True
80,538,2022-04-18,66,False
81,42,2024-09-12,132,False
81,248,2024-06-22,155,False
82,507,2025-09-20,85,True
82,196,2025-06-24,151,False
83,200,2024-03-07,145,True
83,532,2023-09-08,93,True
84,111,2025-10-22,151,False
84,230,2024-11-04,93,True
85,583,2022-11-11,135,True
85,410,2022-10-28,191,False
85,19,2022-07-26,108,True
86,324,2025-05-20,186,False
87,170,2024-09-13,73,True
87,557,2024-10-08,26,True
88,340,2023-04-04,50,True
88,73,2025-08-19,115,False
88,234,2022-05-26,171,True
89,306,2024-10-10,85,True
89,66,2025-06-16,109,False
89,98,2024-08-09,98,True
90,52,2022-10-19,29,True
90,21,2022-03-30,44,True
90,542,2024-05-18,79,False
91,577,2024-01-01,134,False
91,476,2022-04-26,197,True
91,360,2022-09-05,163,True
92,233,2024-11-16,167,True
92,432,2023-01-31,25,False
93,3,2023-11-09,56,True
93,393,2025-05-09,54,True
93,570,2024-08-15,163,False
94,172,2025-12-22,128,True
94,395,2023-01-19,46,True
94,528,2025-10-17,157,True
95,200,2022-07-01,20,False
95,357,2022-12-01,172,True
96,552,2024-10-04,35,False
97,456,2023-10-28,115,False
98,100,2023-09-28,167,True
99,275,2022-08-24,152,False
99,579,2024-02-09,169,True
100,589,2025-08-27,99,True
100,270,2025-10-02,52,False
101,7,2025-03-22,184,True
101,505,2024-07-03,171,True
