id_cuenta_1,id_cuenta_2,fecha_vinculo,tipo_vinculo,confianza
1,1398,2020-04-01,Transferencias frecuentes,0.59
2,632,2022-03-22,Transferencias frecuentes,0.65
3,1146,2022-02-07,Mismo propietario,0.67
4,663,2020-01-20,Mismo propietario,0.66
11,1398,2021-04-08,Mismo propietario,0.69
12,355,2020-07-30,Mismo propietario,0.49
13,62,2024-09-15,Transferencias circulares,0.44
13,714,2020-08-02,Mismo propietario,0.37
14,1150,2024-02-09,Transferencias circulares,0.57
15,1082,2023-11-04,Transferencias circulares,0.66
17,1471,2022-07-18,Transferencias circulares,0.87
17,395,2023-08-19,Transferencias frecuentes,0.59
18,66,2020-11-22,Transferencias circulares,0.49
19,847,2021-03-17,Mismo propietario,0.54
19,729,2023-09-04,Transferencias circulares,0.94
23,1230,2023-10-05,Transferencias circulares,0.83
23,538,2023-10-17,Transferencias circulares,0.76
24,265,2021-10-20,Transferencias frecuentes,0.88
25,1182,2022-01-18,Transferencias frecuentes,0.91
27,794,2022-01-17,Mismo propietario,0.67
27,1000,2020-04-28,Mismo propietario,0.81
28,594,2021-06-08,Mismo propietario,0.74
28,1204,2023-03-08,Transferencias frecuentes,0.47
34,420,2022-10-29,Transferencias circulares,0.73
34,4,2023-07-17,Mismo propietario,0.35
35,1301,2022-05-29,Transferencias frecuentes,0.85
35,270,2020-05-16,Transferencias frecuentes,0.92
39,835,2023-01-13,Mismo propietario,0.7
40,296,2020-06-14,Transferencias frecuentes,0.88
41,583,2023-02-02,Mismo propietario,0.5
41,360,2021-12-11,Transferencias circulares,0.91
42,888,2023-12-13,Transferencias circulares,0.55
42,292,2021-01-09,Transferencias frecuentes,0.7
43,1318,2021-10-21,Mismo propietario,0.48
43,194,2022-07-31,Transferencias frecuentes,0.31
44,1020,2021-03-15,Transferencias circulares,0.78
45,444,2023-11-30,Transferencias circulares,0.57
45,1175,2024-09-06,Transferencias frecuentes,0.6
47,515,2023-10-23,Transferencias circulares,0.72
49,493,2021-11-15,Transferencias circulares,0.93
49,1493,2021-01-19,Transferencias circulares,0.71
50,1366,2024-12-20,Transferencias circulares,0.88
50,170,2022-08-04,Mismo propietario,0.71
52,952,2022-09-16,Transferencias frecuentes,0.33
53,401,2023-11-29,Transferencias frecuentes,0.75
53,915,2022-03-11,Transferencias frecuentes,0.6
56,703,2021-03-12,Transferencias circulares,0.4
57,629,2021-03-18,Transferencias circulares,0.45
57,1427,2024-08-04,Mismo propietario,0.8
60,120,2022-05-21,Transferencias frecuentes,0.5
62,483,2024-03-08,Transferencias circulares,0.78
66,842,2021-06-09,Mismo propietario,0.61
69,116,2024-06-14,Transferencias circulares,0.94
69,605,2020-06-23,Transferencias circulares,0.5
73,1014,2020-08-03,Transferencias frecuentes,0.83
73,248,2023-11-18,Transferencias frecuentes,0.48
74,444,2021-03-22,Transferencias frecuentes,0.54
76,1105,2020-04-19,Transferencias circulares,0.68
76,495,2024-08-06,Mismo propietario,0.33
77,838,2023-11-28,Transferencias frecuentes,0.34
77,1084,2022-09-11,Mismo propietario,0.63
78,1079,2022-03-14,Mismo propietario,0.51
78,1374,2021-09-12,Transferencias frecuentes,0.41
80,901,2022-03-10,Transferencias circulares,0.53
81,751,2023-11-20,Mismo propietario,0.85
82,639,2020-10-16,Transferencias circulares,0.41
83,699,2020-02-17,Transferencias frecuentes,0.69
85,268,2023-12-20,Mismo propietario,0.84
86,1249,2021-07-26,Transferencias frecuentes,0.86
89,790,2020-04-28,Transferencias circulares,0.92
90,358,2021-01-25,Transferencias circulares,0.81
91,1248,2023-01-26,Mismo propietario,0.35
92,372,2024-03-09,Transferencias frecuentes,0.78
93,456,2023-09-22,Mismo propietario,0.6
93,1022,2022-07-09,Transferencias circulares,0.44
95,104,2021-08-16,Transferencias circulares,0.46
96,1457,2021-03-12,Mismo propietario,0.4
99,693,2023-08-02,Mismo propietario,0.43
100,957,2021-02-13,Transferencias circulares,0.49
100,990,2022-08-16,Transferencias circulares,0.58
102,890,2021-10-17,Transferencias circulares,0.53
102,293,2022-07-18,Mismo propietario,0.94
103,1290,2024-06-16,Mismo propietario,0.86
104,1202,2020-05-18,Mismo propietario,0.74
104,1136,2023-03-13,Mismo propietario,0.44
106,502,2023-12-30,Mismo propietario,0.79
106,657,2022-12-16,Transferencias frecuentes,0.9
107,1386,2023-11-21,Transferencias circulares,0.5
107,260,2023-03-06,Transferencias circulares,0.86
109,1090,2022-08-15,Mismo propietario,0.37
111,642,2020-02-18,Mismo propietario,0.56
113,711,2024-04-30,Mismo propietario,0.54
113,199,2020-03-29,Mismo propietario,0.91
114,1282,2023-01-21,Transferencias frecuentes,0.67
114,823,2024-06-16,Transferencias circulares,0.87
117,1137,2022-12-16,Transferencias circulares,0.32
118,148,2024-02-12,Transferencias circulares,0.58
120,935,2020-01-17,Transferencias frecuentes,0.77
120,850,2022-11-04,Transferencias frecuentes,0.72
121,832,2020-12-11,Transferencias circulares,0.87
124,100,2022-02-05,Transferencias circulares,0.87
127,1280,2024-04-22,Mismo propietario,0.57
129,545,2021-05-20,Mismo propietario,0.8
130,1130,2024-05-31,Transferencias frecuentes,0.78
132,610,2023-12-25,Mismo propietario,0.35
132,3,2023-11-19,Transferencias frecuentes,0.73
134,1447,2020-08-03,Transferencias frecuentes,0.91
135,971,2024-05-19,Transferencias frecuentes,0.38
135,926,2022-01-18,Transferencias circulares,0.84
141,1042,2023-06-09,Transferencias circulares,0.8
142,126,2021-10-26,Mismo propietario,0.76
142,419,2024-11-27,Transferencias frecuentes,0.59
144,118,2023-08-16,Transferencias circulares,0.48
144,810,2021-03-05,Transferencias frecuentes,0.81
145,1418,2022-03-02,Transferencias circulares,0.6
145,34,2023-08-28,Transferencias frecuentes,0.67
146,1095,2024-10-08,Transferencias frecuentes,0.53
147,655,2021-09-08,Mismo propietario,0.54
147,389,2020-08-11,Transferencias circulares,0.37
150,599,2022-06-26,Transferencias frecuentes,0.92
151,1189,2022-10-20,Transferencias frecuentes,0.47
151,212,2021-04-28,Mismo propietario,0.72
153,570,2023-11-19,Transferencias frecuentes,0.59
154,521,2024-03-18,Mismo propietario,0.37
155,1397,2022-02-26,Transferencias circulares,0.38
155,1203,2021-07-06,Transferencias frecuentes,0.57
156,227,2021-01-23,Transferencias frecuentes,0.49
156,683,2021-04-24,Transferencias circulares,0.48
157,18,2024-05-13,Mismo propietario,0.84
157,47,2024-08-03,Mismo propietario,0.8
158,1494,2024-12-15,Mismo propietario,0.73
159,568,2021-11-05,Transferencias circulares,0.5
159,363,2020-09-27,Transferencias frecuentes,0.59
160,776,2023-11-05,Transferencias frecuentes,0.38
161,112,2022-05-17,Mismo propietario,0.87
161,260,2021-11-18,Transferencias frecuentes,0.59
