id_transaccion,monto,fecha,tipo,es_fraudulenta,moneda,descripcion,canal,id_cuenta_origen,id_cuenta_destino,id_dispositivo,id_ubicacion
1,32354.33,2023-04-20,Compra,True,GTQ,TXN-000001,App Móvil,978,584,87,148
2,18543.07,2025-06-22,Pago,False,USD,TXN-000002,Web,450,504,306,119
3,47482.39,2022-01-12,Préstamo,False,GTQ,TXN-000003,Sucursal,192,178,22,136
4,24297.82,2024-03-30,Retiro,True,MXN,TXN-000004,App Móvil,295,945,429,15
5,43516.72,2023-03-24,Préstamo,False,COP,TXN-000005,ATM,971,893,11,4
6,11421.18,2023-07-10,Depósito,False,GTQ,TXN-000006,Sucursal,1173,667,436,169
7,33668.1,2023-02-10,Depósito,False,GTQ,TXN-000007,App Móvil,301,457,266,73
8,48250.23,2023-02-14,Préstamo,False,GTQ,TXN-000008,Sucursal,1460,191,358,71
9,45770.51,2023-01-01,Depósito,False,MXN,TXN-000009,Sucursal,590,239,536,93
10,44715.84,2024-05-14,Préstamo,False,USD,TXN-000010,ATM,977,861,300,47
11,40941.28,2022-05-23,Depósito,False,EUR,TXN-000011,ATM,1278,93,103,131
12,998.44,2024-10-09,Compra,False,COP,TXN-000012,Telefónico,1128,904,194,45
13,9145.78,2023-08-11,Compra,False,USD,TXN-000013,Sucursal,614,1429,316,69
14,38431.44,2023-07-05,Retiro,False,MXN,TXN-000014,ATM,548,160,202,129
15,12783.87,2022-01-23,Pago,False,EUR,TXN-000015,ATM,797,1173,549,95
16,42104.91,2025-02-19,Compra,False,GTQ,TXN-000016,ATM,462,776,479,45
17,21699.33,2022-05-10,Préstamo,False,GTQ,TXN-000017,App Móvil,406,1057,348,59
18,31294.81,2023-07-03,Pago,False,GTQ,TXN-000018,Sucursal,1026,691,286,61
19,30174.26,2022-03-08,Compra,False,USD,TXN-000019,Sucursal,658,1209,547,20
20,21372.78,2025-08-19,Préstamo,False,MXN,TXN-000020,App Móvil,537,1377,301,57
21,47809.69,2023-07-19,Pago,False,MXN,TXN-000021,App Móvil,934,1035,406,187
22,27116.19,2025-08-27,Retiro,False,MXN,TXN-000022,ATM,769,169,425,120
23,43843.19,2024-04-07,Compra,False,GTQ,TXN-000023,ATM,270,1392,305,178
24,18644.62,2025-06-01,Compra,False,GTQ,TXN-000024,App Móvil,179,1064,153,116
25,8355.19,2022-01-23,Compra,False,EUR,TXN-000025,ATM,974,1425,42,179
26,42064.47,2022-02-11,Retiro,False,USD,TXN-000026,ATM,931,1331,422,193
27,16879.67,2025-12-16,Pago,True,MXN,TXN-000027,ATM,878,69,436,152
28,10571.59,2025-08-13,Depósito,False,USD,TXN-000028,App Móvil,1043,504,415,121
29,27404.2,2023-01-11,Depósito,False,MXN,TXN-000029,Sucursal,1436,247,589,165
30,30719.28,2024-07-14,Compra,False,COP,TXN-000030,Sucursal,576,167,337,56
31,33815.88,2022-04-06,Depósito,False,MXN,TXN-000031,Web,1029,675,587,107
32,33990.07,2024-11-20,Préstamo,False,COP,TXN-000032,Telefónico,419,624,494,103
33,39943.01,2022-02-14,Préstamo,False,EUR,TXN-000033,Telefónico,50,645,142,36
34,22776.01,2025-02-22,Depósito,False,GTQ,TXN-000034,Telefónico,242,1423,412,175
35,1496.68,2023-01-18,Transferencia,False,GTQ,TXN-000035,Sucursal,1482,907,167,148
36,23733.58,2025-04-03,Compra,False,USD,TXN-000036,Telefónico,1385,31,83,173
37,46525.13,2025-02-24,Pago,False,MXN,TXN-000037,ATM,1161,1099,209,198
38,4530.95,2022-01-13,Compra,False,MXN,TXN-000038,ATM,478,950,269,44
39,14603.92,2025-11-25,Compra,True,COP,TXN-000039,Web,830,1203,90,173
40,15131.32,2025-05-16,Préstamo,False,GTQ,TXN-000040,App Móvil,487,670,290,92
41,48919.95,2024-02-19,Compra,False,USD,TXN-000041,App Móvil,1159,1251,349,138
42,109.57,2025-05-28,Compra,False,USD,TXN-000042,ATM,900,389,238,144
43,32937.86,2022-04-22,Préstamo,False,USD,TXN-000043,App Móvil,1050,570,478,186
44,20720.12,2022-01-12,Depósito,False,MXN,TXN-000044,ATM,1104,229,228,174
45,44152.58,2022-04-17,Transferencia,False,MXN,TXN-000045,ATM,234,704,595,186
46,45063.61,2022-07-10,Retiro,False,GTQ,TXN-000046,Web,1348,291,460,199
47,23802.94,2022-11-16,Depósito,False,EUR,TXN-000047,App Móvil,95,235,457,13
48,25663.74,2024-11-26,Préstamo,False,GTQ,TXN-000048,Sucursal,417,64,164,103
49,8288.56,2025-01-31,Pago,False,EUR,TXN-000049,ATM,308,1083,540,84
50,42534.44,2024-11-23,Compra,False,COP,TXN-000050,ATM,62,1353,579,48
51,23351.66,2022-06-04,Depósito,False,COP,TXN-000051,App Móvil,1314,1325,434,152
52,35964.43,2024-02-28,Transferencia,False,USD,TXN-000052,Sucursal,1404,231,416,101
53,27877.89,2022-02-04,Pago,False,COP,TXN-000053,App Móvil,272,32,468,15
54,49713.33,2025-10-09,Retiro,False,EUR,TXN-000054,ATM,1302,359,224,84
55,31514.4,2023-06-03,Retiro,False,COP,TXN-000055,Sucursal,1219,782,7,21
56,36791.88,2025-09-17,Préstamo,False,USD,TXN-000056,ATM,366,23,167,169
57,20397.01,2022-07-04,Pago,True,USD,TXN-000057,Sucursal,766,441,373,64
58,27570.47,2024-07-13,Depósito,False,GTQ,TXN-000058,Web,19,375,386,167
59,6601.64,2023-05-12,Depósito,False,EUR,TXN-000059,Web,920,2,316,11
60,11123.07,2023-06-08,Compra,False,GTQ,TXN-000060,Telefónico,721,727,451,95
61,823.25,2024-03-30,Préstamo,False,EUR,TXN-000061,Telefónico,571,1392,560,38
62,43715.17,2024-10-17,Pago,False,COP,TXN-000062,ATM,244,722,284,183
63,7621.99,2022-09-18,Pago,False,MXN,TXN-000063,App Móvil,820,842,391,104
64,38775.39,2024-04-15,Retiro,False,COP,TXN-000064,App Móvil,950,1238,133,96
65,28351.71,2025-09-27,Pago,False,USD,TXN-000065,App Móvil,1191,636,263,48
66,19353.71,2024-04-21,Compra,False,COP,TXN-000066,Web,1239,1075,12,99
67,3642.85,2025-03-11,Compra,False,MXN,TXN-000067,Web,854,816,194,89
68,49263.48,2025-05-15,Préstamo,False,USD,TXN-000068,Telefónico,773,1250,562,64
69,37577.27,2024-03-29,Compra,False,COP,TXN-000069,Sucursal,442,657,508,116
70,18614.73,2022-01-26,Retiro,False,GTQ,TXN-000070,Web,1252,384,261,135
71,26167.63,2023-05-31,Compra,False,USD,TXN-000071,App Móvil,354,101,336,52
72,37304.32,2025-05-12,Transferencia,False,USD,TXN-000072,Web,1236,1082,413,3
73,44841.27,2022-04-12,Préstamo,False,MXN,TXN-000073,Sucursal,61,10,151,158
74,47829.64,2025-08-28,Préstamo,False,USD,TXN-000074,App Móvil,1484,138,292,188
75,10894.18,2023-02-23,Compra,False,COP,TXN-000075,Sucursal,1156,145,330,39
76,23509.16,2025-06-09,Compra,True,MXN,TXN-000076,ATM,1302,1114,393,77
77,46991.68,2022-01-24,Retiro,False,COP,TXN-000077,Web,328,1367,57,133
78,16848.31,2025-03-13,Depósito,False,MXN,TXN-000078,Sucursal,375,479,105,160
79,45288.15,2025-03-10,Compra,False,GTQ,TXN-000079,ATM,535,1145,412,137
80,4267.9,2023-05-19,Préstamo,False,GTQ,TXN-000080,Sucursal,270,9,419,105
81,21536.37,2024-09-10,Pago,False,EUR,TXN-000081,App Móvil,206,1078,318,64
82,12888.8,2023-10-14,Pago,False,GTQ,TXN-000082,Web,630,1006,494,170
83,42522.51,2022-04-17,Depósito,False,MXN,TXN-000083,Sucursal,1268,647,202,165
84,24821.49,2022-05-08,Pago,False,MXN,TXN-000084,App Móvil,348,151,590,196
85,48300.25,2023-11-15,Compra,False,COP,TXN-000085,Telefónico,1359,368,73,152
86,24219.12,2022-03-24,Pago,False,EUR,TXN-000086,Web,407,1057,301,80
87,14337.69,2023-07-09,Depósito,False,MXN,TXN-000087,App Móvil,564,919,455,192
88,43301.41,2023-10-08,Transferencia,False,GTQ,TXN-000088,Sucursal,1095,852,424,83
89,3573.91,2022-03-11,Préstamo,False,COP,TXN-000089,ATM,157,1246,92,124
90,48051.07,2025-01-07,Compra,False,EUR,TXN-000090,App Móvil,1424,490,275,91
91,48580.31,2022-05-31,Compra,True,EUR,TXN-000091,Telefónico,786,395,2,89
92,37101.96,2022-07-15,Retiro,False,MXN,TXN-000092,ATM,710,1116,278,184
93,33457.15,2025-09-26,Transferencia,False,MXN,TXN-000093,App Móvil,1269,804,504,122
94,14259.97,2022-01-26,Préstamo,False,EUR,TXN-000094,ATM,6,104,320,31
95,49235.75,2023-05-25,Compra,False,COP,TXN-000095,Web,1106,566,183,21
96,34051.82,2024-03-17,Pago,False,GTQ,TXN-000096,Web,1106,50,527,96
97,19973.02,2025-07-10,Préstamo,False,GTQ,TXN-000097,Sucursal,1115,1136,547,139
98,19593.19,2025-11-30,Retiro,False,GTQ,TXN-000098,Sucursal,26,311,290,178
99,30019.65,2023-04-30,Retiro,False,MXN,TXN-000099,Web,896,1453,205,15
100,49272.83,2022-02-12,Compra,False,COP,TXN-000100,App Móvil,389,1239,443,125
101,35994.51,2024-09-16,Transferencia,False,COP,TXN-000101,Web,88,1036,43,174
102,29978.27,2025-01-12,Préstamo,False,EUR,TXN-000102,Web,1466,241,81,24
103,42809.38,2024-03-09,Depósito,False,GTQ,TXN-000103,App Móvil,409,1395,344,138
104,16931.78,2022-11-30,Depósito,True,USD,TXN-000104,Web,565,1134,123,29
105,20169.86,2024-07-20,Préstamo,False,USD,TXN-000105,Web,1217,1344,19,81
106,45250.14,2024-09-01,Depósito,False,EUR,TXN-000106,ATM,463,1231,286,76
107,34914.21,2024-12-25,Préstamo,False,USD,TXN-000107,Web,984,1488,82,114
108,19526.17,2025-06-18,Compra,True,EUR,TXN-000108,Web,131,593,591,70
109,40197.29,2022-09-28,Depósito,False,USD,TXN-000109,Web,863,996,335,180
110,46143.23,2022-01-28,Pago,False,MXN,TXN-000110,App Móvil,1181,770,548,78
111,18704.78,2024-07-07,Transferencia,False,USD,TXN-000111,Sucursal,34,266,530,103
112,46407.04,2023-04-30,Transferencia,True,MXN,TXN-000112,Sucursal,100,678,245,112
113,2210.4,2025-08-05,Transferencia,False,MXN,TXN-000113,ATM,18,760,9,160
114,6042.94,2025-04-16,Transferencia,False,COP,TXN-000114,App Móvil,1117,1204,169,16
115,1450.34,2022-02-17,Compra,False,EUR,TXN-000115,ATM,486,1309,162,177
116,37851.24,2025-11-26,Compra,False,EUR,TXN-000116,Web,410,943,115,148
117,48459.1,2025-06-30,Préstamo,True,COP,TXN-000117,Sucursal,1330,383,45,35
118,45862.4,2023-08-28,Préstamo,False,EUR,TXN-000118,ATM,950,715,280,162
119,2201.8,2025-02-14,Compra,False,EUR,TXN-000119,ATM,1210,281,338,58
120,6226.54,2025-02-23,Transferencia,True,COP,TXN-000120,Telefónico,1053,186,399,90
121,26474.33,2023-08-03,Retiro,False,MXN,TXN-000121,Sucursal,1289,718,161,43
122,18556.02,2025-06-16,Depósito,False,GTQ,TXN-000122,ATM,1223,1405,418,98
123,48475.68,2024-05-10,Pago,False,EUR,TXN-000123,Telefónico,25,481,434,8
124,14823.67,2022-11-12,Depósito,False,MXN,TXN-000124,App Móvil,917,22,135,51
125,18304.96,2022-05-26,Retiro,False,USD,TXN-000125,App Móvil,724,129,70,113
126,36294.53,2024-05-16,Depósito,False,GTQ,TXN-000126,ATM,472,1392,434,14
127,22007.49,2022-09-22,Pago,True,EUR,TXN-000127,ATM,711,1079,77,54
128,16326.6,2023-06-28,Transferencia,False,MXN,TXN-000128,ATM,503,1210,375,55
129,40584.41,2024-08-15,Compra,False,GTQ,TXN-000129,ATM,199,1393,472,32
130,37925.98,2025-07-29,Compra,False,COP,TXN-000130,Sucursal,1173,164,446,191
131,20236.74,2023-11-08,Depósito,False,GTQ,TXN-000131,Telefónico,616,1472,241,50
132,30367.59,2025-10-05,Compra,False,MXN,TXN-000132,Sucursal,661,1462,561,2
133,23440.68,2023-05-13,Préstamo,False,MXN,TXN-000133,Sucursal,767,1407,91,139
134,42778.38,2022-07-25,Compra,False,USD,TXN-000134,Web,544,501,27,155
135,24448.56,2022-10-22,Préstamo,False,COP,TXN-000135,Sucursal,738,886,218,175
136,28280.47,2023-08-16,Retiro,False,GTQ,TXN-000136,Web,273,431,575,35
137,38156.7,2024-07-31,Depósito,False,COP,TXN-000137,Telefónico,660,492,192,67
138,23675.15,2025-12-23,Pago,False,USD,TXN-000138,Telefónico,339,900,347,167
139,6841.67,2022-02-14,Compra,False,GTQ,TXN-000139,ATM,289,96,1,17
140,9453.05,2022-12-25,Compra,False,EUR,TXN-000140,ATM,867,1264,142,55
141,32995.55,2024-12-11,Pago,False,COP,TXN-000141,App Móvil,609,1014,495,85
142,16419.5,2023-12-02,Pago,False,MXN,TXN-000142,App Móvil,658,173,454,83
143,34489.41,2023-02-18,Compra,False,USD,TXN-000143,App Móvil,894,1165,31,1
144,39432.24,2023-03-14,Préstamo,False,USD,TXN-000144,Web,1468,806,443,161
145,45681.41,2024-08-15,Depósito,False,USD,TXN-000145,Web,1485,309,78,107
146,34995.17,2024-03-26,Depósito,True,EUR,TXN-000146,Sucursal,1487,1037,29,114
147,27930.0,2024-02-15,Transferencia,True,EUR,TXN-000147,Telefónico,8,425,321,44
148,39809.48,2023-08-13,Transferencia,False,GTQ,TXN-000148,Sucursal,1278,1032,305,187
149,44891.36,2025-10-15,Préstamo,False,MXN,TXN-000149,Sucursal,110,271,376,130
150,22677.62,2025-03-11,Transferencia,False,MXN,TXN-000150,Web,343,877,15,11
