id_ubicacion,pais,ciudad,latitud,longitud,zonas_riesgo
1,Ecuador,Quito,-51.823634,-80.989445,zona_2|zona_7
2,Bolivia,La Paz,30.940835,141.184644,zona_1|zona_10
3,Brasil,São Paulo,-51.215753,-101.290329,zona_5|zona_10
4,Guatemala,Villa Nueva,-29.747618,53.958398,zona_5|zona_9
5,Argentina,Mendoza,19.836742,111.394964,zona_1|zona_7
6,Bolivia,Sucre,-11.788184,-124.02738,zona_3|zona_6
7,México,Puebla,-42.71702,125.097972,zona_5|zona_8
8,Paraguay,Asunción,37.675937,13.042113,zona_4|zona_6
9,Perú,Cusco,50.334392,42.667111,zona_3|zona_10
10,Argentina,Buenos Aires,-49.180303,-97.956621,zona_3|zona_6
11,Uruguay,Salto,55.043426,-43.154559,zona_4|zona_8
12,Colombia,Cali,-9.880621,61.263063,zona_1|zona_10
13,Ecuador,Guayaquil,12.835764,-91.868067,zona_4|zona_9
14,España,Bilbao,-27.108873,-63.258216,zona_1|zona_7
15,Uruguay,Montevideo,47.240817,-35.580677,zona_1|zona_7
16,Venezuela,Valencia,-27.996429,-0.276747,zona_4|zona_7
17,España,Barcelona,-23.678307,22.092528,zona_3|zona_10
18,Brasil,Fortaleza,-4.276136,-101.044527,zona_2|zona_10
19,Chile,Santiago,40.984334,129.997047,zona_2|zona_7
20,Paraguay,Luque,20.743947,-41.483768,zona_5|zona_9
21,Perú,Cusco,68.326954,129.880693,zona_1|zona_6
22,Ecuador,Manta,40.361481,96.695544,zona_3|zona_6
23,España,Sevilla,-34.913965,-178.831686,zona_3|zona_10
24,Paraguay,Ciudad del Este,9.475573,-141.692104,zona_3|zona_10
25,Venezuela,Maracaibo,-35.589413,94.503888,zona_5|zona_10
26,Guatemala,Villa Nueva,-13.832181,-172.988373,zona_3|zona_8
27,Argentina,Buenos Aires,-24.409308,24.2485,zona_1|zona_6
28,Bolivia,Sucre,48.634953,172.074418,zona_5|zona_7
29,Colombia,Barranquilla,65.249782,-120.554295,zona_5|zona_10
30,Brasil,Rio de Janeiro,62.972014,91.895471,zona_2|zona_8
31,Brasil,Brasília,0.638711,6.327303,zona_1|zona_7
32,Argentina,Buenos Aires,-12.063134,31.791139,zona_2|zona_10
33,Argentina,Buenos Aires,-45.983878,47.197065,zona_2|zona_6
34,Guatemala,Escuintla,-46.001117,-94.318332,zona_4|zona_7
35,Perú,Arequipa,36.865776,137.657907,zona_5|zona_9
36,Argentina,Mendoza,47.552119,-111.452431,zona_1|zona_9
37,Estados Unidos,Houston,-2.790011,130.981229,zona_1|zona_6
38,Guatemala,Mixco,37.483126,108.213304,zona_1|zona_7
39,Argentina,Córdoba,13.108291,-129.534373,zona_2|zona_8
40,Chile,Valparaíso,56.059716,-152.86144,zona_5|zona_6
41,Guatemala,Villa Nueva,51.175503,168.838653,zona_2|zona_7
42,Brasil,Salvador,6.132519,131.274142,zona_1|zona_7
43,Brasil,São Paulo,70.134223,-84.526899,zona_4|zona_8
44,Brasil,Fortaleza,29.057657,-4.798292,zona_2|zona_8
45,Argentina,Buenos Aires,18.555897,15.190272,zona_3|zona_6
46,Guatemala,Villa Nueva,5.552142,150.979367,zona_5|zona_7
47,Guatemala,Villa Nueva,-44.825844,-113.103014,zona_5|zona_6
48,Ecuador,Guayaquil,-3.720505,158.974606,zona_5|zona_7
49,Venezuela,Mérida,-49.952809,-150.485974,zona_5|zona_10
50,Perú,Cusco,63.707695,-106.466688,zona_3|zona_7
51,España,Sevilla,-38.378458,52.380284,zona_4|zona_8
52,Paraguay,Asunción,-53.816937,43.617332,zona_5|zona_6
53,México,Cancún,-27.929402,-84.527851,zona_3|zona_6
54,Argentina,Rosario,-18.806601,-22.253554,zona_5|zona_8
55,Venezuela,Mérida,-54.006465,114.157489,zona_3|zona_6
56,Colombia,Cali,-40.340559,-141.467048,zona_5|zona_7
57,España,Valencia,21.813388,78.340387,zona_2|zona_8
58,Perú,Trujillo,-23.107601,146.937257,zona_1|zona_6
59,Ecuador,Santo Domingo,50.327207,-164.128766,zona_3|zona_7
60,Ecuador,Cuenca,-34.479089,-20.939216,zona_4|zona_10
61,Guatemala,Guatemala City,-45.44403,137.918302,zona_2|zona_10
62,Guatemala,Escuintla,18.978715,-126.686237,zona_2|zona_6
63,España,Valencia,59.170649,106.60403,zona_1|zona_8
